anomaly_id,mission,get_report,get_diagnosis,subsystem,crew_observed,symptom_report,exchange_quote,established_cause,cause_confidence,in_corpus,diagnosed_in_flight,mc_turns,mc_time_s,notes
A07-001,Apollo 7,065:00:00,,comms,false,PCM and voice subcarriers lost at ~65:00:00 on the secondary S-band transponder; downlink telemetry/TV time-shared on FM until crew manually switched to alternate transponder,,"Most likely the transponder select switch (directly above the antenna select switch) was inadvertently thrown during frequent antenna switchings without the required OFF-position hesitation, turning both transponders ON; postflight X-ray, bench, vibration and temperature tests of switch and transponder were all negative. Anomaly closed.",high,,false,,,Anomaly 11.1. Detected by ground-received PM signal-strength drop; crew corrected by switching transponders but root cause is postflight speculation.
A07-002,Apollo 7,,,biomed,true,Several biomedical instrumentation leads broke or disconnected in flight; one dc-dc converter on the suit harness was reported by the crew to be physically hot (crew removed the harness),,"Wire breakage from stiff Teflon insulation and stress-concentrating potting; inline connectors allowed disconnects; connector ends corroded with salt deposits. Worst-case dc-dc converter reached only 120F in ground test. Fixes (PVC insulation, softer potting, eliminated inline connectors) are postflight. Anomaly closed.",high,false,false,,,Anomaly 11.2. Crew reported hot converter and removed harness in flight; full diagnosis postflight.
A07-003,Apollo 7,,,ECLSS,true,Trigger on the water metering dispenser (water gun) became sticky and hard to operate; postflight activation force 11 lb vs 4 lb spec,,Forward (metering) O-ring swelled 0.004-0.013 in oversize due to sodium hypochlorite in the drinking water; O-ring material changed to ethylene propylene. Anomaly closed.,high,true,false,,,Anomaly 11.3. Crew-reported symptom; cause found postflight.
A07-004,Apollo 7,,,GNC,true,"Total attitude on FDAI no.1 shifted ~160 deg in pitch when attitude source switched from G&N to SCS; first shift noted by crew ~1 min after switching, immediate on later attempts",,A tin/silver solder ball found in a switching relay (in the electronic display assembly) that selects sine/cosine resolver outputs; large enough to cause the shift except the 1-minute delay. Could not be reproduced with flight hardware. Anomaly closed.,high,true,false,,,Anomaly 11.4. Crew-noted; diagnosis via ground/postflight relay teardown.
A07-005,Apollo 7,,,GNC,true,Rotation hand controller no.2 failed to generate the second of a series of minus-pitch minimum-impulse commands; engines fired with no controller movement when mode switched to acceleration command; self-corrected after several hours,,"Probable temporary failure of a breakout microswitch to open (sticky cam operation, a known tendency of this controller design); not reproduced postflight. Later spacecraft (103+) use improved design. Redundant controllers prevent capability loss. Anomaly closed.",high,true,false,,,Anomaly 11.5. Crew-observed; cause postflight.
A07-006,Apollo 7,,,GNC,false,Entry monitor system delta-V and range-counter circuits malfunctioned prior to lift-off and intermittently in flight (range self-test failed; a 'nine' appeared in the most-significant delta-V digit on switching),,"Poor/high-resistance solder and internal wire-crimp connections (quality problems); range malfunction later disappeared during thermal cycling, delta-V repeated by pressing an internal crimp. Accepted for flight as non-critical. Anomaly slated to close 18 Dec 1968.",high,,false,,,Anomaly 11.6. Predominantly prelaunch/ground self-test detection; postflight quality diagnosis.
A07-007,Apollo 7,,,structures,false,Photographs during revolution 2 showed the +Y SLA adapter panel open only ~25 deg (others ~45 deg); by revolution 19 all four panels were at the normal ~45 deg,,"Panel fully deployed initially then rebounded because its outside retention cable (cork/aluminized-tape wrapped, force-fit in the channel slot) hung up; when the cable later released, slack reeled in and the panel stayed open. Future missions jettison panels (no retention cable). Anomaly closed.",high,,false,,,"Anomaly 11.7. Detected by photo analysis, not crew report."
A07-008,Apollo 7,,,structures,true,Crew reported command module window fogging from a film that built up on the glass during the mission,,Outgassing of room-temperature-cured RTV used in the window area on the edges of the insulation between heat shield and pressure vessel (same as Gemini); duplicated in ground altitude/elevated-temperature tests. Parts to be vacuum pre-cured on CM 104+. Anomaly closed.,high,true,false,,,Anomaly 11.8. Crew-reported; cause via postflight examination.
A07-009,Apollo 7,,,instrumentation,false,High-level commutator in the command module failed ~5 min after turn-on prior to CM/SM separation; lost time-sequencing and cycled through only 18 of 90 data channels; ~15 min of entry data unrecoverable,,"Not duplicated in extensive postflight testing (voltage, vibration, acceleration, temperature, corona, vacuum, EMI). Suspected EMI; adverse EMI test planned. Not used on future CSMs (used on LM-3). Closeout pending.",high,,false,,,Anomaly 11.9. Telemetry-detected (loss of channel sequencing).
A07-010,Apollo 7,,,ECLSS,true,Water leak observed at the B-nut connection to the waste-water overboard quick disconnect during overboard dumps,,Poor metal-on-metal seal at the B-nut connection to the waste-water overboard quick disconnect; Apollo 8+ uses an O-ring instead. Anomaly closed.,high,true,false,,,Anomaly 11.10. Observed in flight during dumps; cause postflight.
